AREANM,AREACD,Year,GDHI_Per_Head
West Sussex (North East),UKJ28,2012,20975
West Sussex (North East),UKJ28,2013,21714
West Sussex (North East),UKJ28,2014,21912
West Sussex (North East),UKJ28,2015,22962
West Sussex (North East),UKJ28,2016,22853
West Sussex (South West),UKJ27,1997,11506
West Sussex (South West),UKJ27,1998,12118
West Sussex (South West),UKJ27,1999,12278
West Sussex (South West),UKJ27,2000,13232
West Sussex (South West),UKJ27,2001,13948
West Sussex (South West),UKJ27,2002,14271
West Sussex (South West),UKJ27,2003,14503
West Sussex (South West),UKJ27,2004,14975
West Sussex (South West),UKJ27,2005,15723
West Sussex (South West),UKJ27,2006,16360
West Sussex (South West),UKJ27,2007,16917
West Sussex (South West),UKJ27,2008,17224
West Sussex (South West),UKJ27,2009,17487
West Sussex (South West),UKJ27,2010,17677
West Sussex (South West),UKJ27,2011,18063
West Sussex (South West),UKJ27,2012,18890
West Sussex (South West),UKJ27,2013,19651
West Sussex (South West),UKJ27,2014,19849
West Sussex (South West),UKJ27,2015,21340
West Sussex (South West),UKJ27,2016,21382
Westminster,UKI32,1997,21079
Westminster,UKI32,1998,22028
Westminster,UKI32,1999,23911
Westminster,UKI32,2000,26140
Westminster,UKI32,2001,26516
Westminster,UKI32,2002,26218
Westminster,UKI32,2003,26702
Westminster,UKI32,2004,28500
Westminster,UKI32,2005,30790
Westminster,UKI32,2006,33768
Westminster,UKI32,2007,37568
Westminster,UKI32,2008,40193
Westminster,UKI32,2009,41057
Westminster,UKI32,2010,39555
Westminster,UKI32,2011,38707
Westminster,UKI32,2012,42194
Westminster,UKI32,2013,46400
Westminster,UKI32,2014,48620
Westminster,UKI32,2015,51511
Westminster,UKI32,2016,50910
Wiltshire CC,UKK15,1997,11879
Wiltshire CC,UKK15,1998,12096
Wiltshire CC,UKK15,1999,12465
Wiltshire CC,UKK15,2000,13434
Wiltshire CC,UKK15,2001,13939
Wiltshire CC,UKK15,2002,14218
Wiltshire CC,UKK15,2003,14576
Wiltshire CC,UKK15,2004,14973
Wiltshire CC,UKK15,2005,15517
Wiltshire CC,UKK15,2006,16198
Wiltshire CC,UKK15,2007,16718
Wiltshire CC,UKK15,2008,17111
Wiltshire CC,UKK15,2009,17174
Wiltshire CC,UKK15,2010,17326
Wiltshire CC,UKK15,2011,17765
Wiltshire CC,UKK15,2012,18265
Wiltshire CC,UKK15,2013,19051
Wiltshire CC,UKK15,2014,19556
Wiltshire CC,UKK15,2015,20379
Wiltshire CC,UKK15,2016,20292
Wirral,UKD74,1997,10261
Wirral,UKD74,1998,10677
Wirral,UKD74,1999,11124
Wirral,UKD74,2000,11861
Wirral,UKD74,2001,12268
Wirral,UKD74,2002,12825
Wirral,UKD74,2003,13237
Wirral,UKD74,2004,13410
Wirral,UKD74,2005,13537
Wirral,UKD74,2006,13781
Wirral,UKD74,2007,14488
Wirral,UKD74,2008,14866
Wirral,UKD74,2009,15495
Wirral,UKD74,2010,15542
Wirral,UKD74,2011,15595
Wirral,UKD74,2012,16239
Wirral,UKD74,2013,16684
Wirral,UKD74,2014,16948
Wirral,UKD74,2015,17499
Wirral,UKD74,2016,17362
Wolverhampton,UKG39,1997,8936
Wolverhampton,UKG39,1998,9353
Wolverhampton,UKG39,1999,9689
Wolverhampton,UKG39,2000,10136
Wolverhampton,UKG39,2001,10451
Wolverhampton,UKG39,2002,10646
Wolverhampton,UKG39,2003,10749
Wolverhampton,UKG39,2004,11005
Wolverhampton,UKG39,2005,11067
Wolverhampton,UKG39,2006,11250
Wolverhampton,UKG39,2007,11580
Wolverhampton,UKG39,2008,11909
Wolverhampton,UKG39,2009,12259
Wolverhampton,UKG39,2010,12303
Wolverhampton,UKG39,2011,12408
Wolverhampton,UKG39,2012,12730
Wolverhampton,UKG39,2013,13034
Wolverhampton,UKG39,2014,13375
Wolverhampton,UKG39,2015,13879
Wolverhampton,UKG39,2016,13926
Worcestershire,UKG12,1997,11161
Worcestershire,UKG12,1998,11886
Worcestershire,UKG12,1999,12118
Worcestershire,UKG12,2000,12619
Worcestershire,UKG12,2001,13125
Worcestershire,UKG12,2002,13577
Worcestershire,UKG12,2003,13795
Worcestershire,UKG12,2004,14484
Worcestershire,UKG12,2005,15092
Worcestershire,UKG12,2006,15854
Worcestershire,UKG12,2007,15936
Worcestershire,UKG12,2008,16297
Worcestershire,UKG12,2009,16599
Worcestershire,UKG12,2010,16404
Worcestershire,UKG12,2011,16715
Worcestershire,UKG12,2012,17275
Worcestershire,UKG12,2013,17895
Worcestershire,UKG12,2014,18412
Worcestershire,UKG12,2015,19504
Worcestershire,UKG12,2016,19769
York,UKE21,1997,10532
York,UKE21,1998,11347
York,UKE21,1999,12061
York,UKE21,2000,12499
York,UKE21,2001,13033
York,UKE21,2002,13614
York,UKE21,2003,13547
York,UKE21,2004,13181
York,UKE21,2005,13442
York,UKE21,2006,14133
York,UKE21,2007,14898
York,UKE21,2008,14995
York,UKE21,2009,15567
York,UKE21,2010,15527
York,UKE21,2011,15685
York,UKE21,2012,16462
York,UKE21,2013,16760
York,UKE21,2014,17307
York,UKE21,2015,17909
York,UKE21,2016,18070
